x, y, z
-0.404509, 0.872116, -0.864464
-0.455970, 0.882968, -1.045077
-0.479306, 0.738520, -1.119501
-0.466291, 0.584408, -1.068508
-0.456530, 0.377271, -1.137074
-0.494985, 0.237177, -1.325828
-0.584862, 0.071071, -1.497911
-0.682787, -0.084026, -1.657491
-0.725713, -0.261384, -1.548294
-0.742649, -0.379143, -1.451137
-0.694316, -0.574274, -1.439305
-0.658066, -0.583294, -1.384655
-0.630879, -0.544282, -1.282632
-0.564712, -0.637093, -1.282408
-0.576122, -0.660925, -1.129653
-0.615197, -0.480435, -0.816722
-0.613985, -0.314550, -0.704094
-0.567301, -0.083325, -0.650141
-0.486511, 0.135871, -0.716488
-0.471694, 0.452855, -0.842541
-0.460582, 0.583782, -0.891306
-0.513283, 0.651460, -0.882102
-0.507033, 0.809029, -0.982011
-0.471827, 0.896689, -1.209531
-0.369129, 1.053986, -1.486982
-0.337882, 1.248253, -1.557741
-0.375482, 1.302401, -1.473482
-0.357905, 1.220941, -1.379770
-0.329464, 1.129329, -1.294227
-0.414945, 1.030102, -1.382657
-0.448538, 0.894647, -1.372686
-0.550026, 0.732020, -1.334691
-0.641402, 0.335392, -1.382488
-0.664157, 0.022662, -1.357300
-0.711740, -0.272920, -1.368927
-0.686393, -0.387796, -1.408165
-0.728418, -0.534987, -1.422335
-0.698901, -0.797969, -1.493997
-0.707282, -0.995205, -1.578262
-0.728825, -1.097356, -1.427837
-0.653431, -1.006123, -1.330277
-0.596884, -0.922439, -1.196072
-0.569734, -0.829158, -1.110677
-0.534112, -0.606610, -1.153442
-0.583689, -0.363405, -1.078705
-0.559837, -0.150483, -0.809029
-0.496172, 0.100761, -0.728842
-0.417905, 0.426523, -0.760254
-0.343947, 0.670844, -0.905884
-0.334254, 0.915120, -0.984589
-0.326984, 1.022034, -1.028359
-0.291015, 0.903854, -0.939116
-0.340331, 0.769444, -0.917960
-0.407836, 0.760188, -1.100457
-0.443206, 0.692211, -1.267848
-0.469734, 0.656488, -1.362873
-0.459112, 0.568660, -1.464660
-0.512181, 0.289166, -1.510482
-0.689311, -0.027266, -1.499073
-0.730606, -0.127261, -1.551551
-0.654766, -0.263293, -1.606168
-0.597886, -0.502645, -1.662390
-0.585744, -0.590607, -1.689297
-0.729225, -0.717613, -1.526372
-0.775800, -0.706057, -1.282108
-0.734438, -0.636354, -1.266757
-0.657640, -0.614595, -1.301020
-0.600042, -0.460946, -1.250423
-0.511066, -0.345710, -1.105664
-0.459594, -0.244023, -0.951318
-0.466766, -0.121982, -0.759265
-0.456886, 0.198430, -0.828848
-0.449476, 0.469257, -0.881036
-0.398142, 0.672377, -0.889659
-0.390159, 0.809459, -0.987678
-0.414690, 0.805458, -0.969641
-0.448346, 0.878752, -0.971371
-0.534624, 0.933722, -1.094739
-0.568815, 0.944432, -1.202524
-0.502905, 0.906688, -1.283363
-0.377179, 0.908898, -1.343992
-0.221849, 0.681674, -1.389464
-0.273198, 0.480738, -1.270980
-0.273198, 0.480738, -1.270980
-0.372745, 0.207965, -1.426257
-0.416888, -0.057649, -1.619009
-0.434736, -0.134790, -1.702538
-0.509158, -0.360492, -1.536303
-0.519197, -0.468733, -1.350592
-0.526727, -0.610949, -1.363896
-0.501857, -0.763388, -1.465427
-0.544239, -0.755646, -1.526316
-0.545509, -0.551476, -1.449913
-0.485425, -0.520418, -1.331575
-0.486139, -0.512384, -1.105493
-0.456157, -0.216441, -0.966449
-0.418412, -0.070778, -0.953718
-0.374844, 0.236833, -0.928912
-0.296392, 0.559095, -0.849272
-0.207035, 0.632944, -0.759024
-0.201053, 0.871437, -0.706597
-0.257601, 0.974012, -0.728312
-0.254236, 1.035685, -0.897186
-0.221195, 1.142974, -1.039101
-0.181155, 1.147148, -1.206572
-0.273195, 0.982431, -1.316916
-0.433778, 0.843635, -1.353898
-0.462663, 0.724279, -1.457928
-0.453809, 0.497433, -1.566469
-0.431909, 0.388333, -1.602098
-0.430743, 0.062368, -1.598302
-0.551939, -0.227882, -1.519161
-0.627578, -0.445570, -1.261441
-0.653789, -0.608835, -1.144445
-0.627671, -0.700767, -1.239803
-0.653858, -0.830751, -1.250287
-0.612464, -0.821428, -1.090303
-0.611936, -0.905988, -0.894021
-0.596281, -0.984667, -0.777328
-0.599799, -0.891088, -0.857654
-0.571919, -0.637798, -0.948416
-0.551010, -0.356278, -1.077523
-0.428516, -0.190915, -1.082801
-0.336646, -0.036375, -1.117276
-0.389814, 0.155824, -0.944769
-0.444948, 0.345750, -0.861164
-0.394746, 0.640782, -0.935790
-0.357095, 0.801021, -0.976501
-0.222045, 0.997495, -1.113845
-0.242828, 1.190626, -1.110042
-0.288932, 1.243922, -1.015637
-0.262475, 1.116047, -1.158456
-0.303668, 1.050658, -1.280830
-0.304045, 0.986358, -1.479421
-0.350104, 0.755027, -1.613106
-0.430425, 0.474718, -1.713369
-0.521183, 0.096639, -1.590203
-0.543475, -0.110626, -1.497828
-0.605971, -0.296593, -1.581135
-0.637583, -0.481844, -1.567321
-0.646034, -0.498712, -1.434890
-0.682890, -0.740245, -1.335567
-0.725791, -0.829842, -1.139004
-0.757966, -0.820746, -0.991582
-0.782097, -0.722371, -1.048862
-0.678126, -0.450225, -0.985011
-0.615406, -0.276634, -1.028675
-0.598884, -0.176958, -1.183494
-0.662786, -0.025907, -1.085985
-0.649677, 0.178934, -1.058629
-0.533034, 0.424118, -1.160183
-0.476070, 0.608005, -1.343160
-0.418087, 0.883250, -1.449875
-0.435636, 1.074425, -1.499393
-0.418280, 1.233065, -1.399203
-0.344227, 1.336786, -1.232508
-0.303947, 1.307765, -1.168521
-0.243219, 1.270741, -1.288378
-0.335002, 1.166679, -1.363012
-0.419098, 1.058115, -1.357953
-0.451653, 0.778327, -1.262605
-0.460810, 0.476934, -1.160577
-0.574489, 0.052525, -1.312937
-0.613972, -0.189488, -1.335655
-0.552032, -0.355739, -1.352694
-0.551353, -0.678792, -1.426507
-0.596620, -0.860046, -1.390315
-0.615312, -1.011245, -1.286877
-0.629331, -1.109386, -1.209298
-0.548292, -1.152474, -1.151114
-0.456995, -1.123755, -1.092218
-0.464817, -1.056439, -1.048045
-0.470683, -0.914400, -0.877587
-0.505600, -0.578988, -0.688708
-0.455494, -0.373206, -0.806448
-0.341621, -0.112058, -0.925270
