246.87,	239.55,	542.79
51.62,	57.83,	793.00
-1.10,	17.24,	65.52
241.15,	243.24,	571.96
-286.64,	-253.78,	-368.21
156.74,	157.14,	-90.17
260.16,	274.23,	455.96
-322.32,	-367.49,	-668.28
206.53,	229.32,	-44.22
170.52,	226.14,	601.02
-270.79,	-276.97,	-890.85
170.23,	183.94,	399.03
208.22,	171.31,	343.54
-492.74,	-577.70,	-945.07
286.34,	265.96,	207.94
55.32,	48.01,	851.59
-308.38,	-318.53,	-948.70
267.61,	264.40,	251.58
99.41,	81.24,	502.40
-419.91,	-477.01,	-326.30
149.37,	151.78,	98.59
167.15,	161.67,	267.45
-273.93,	-265.98,	-378.18
172.49,	141.26,	290.83
189.66,	200.01,	845.91
-353.96,	-328.19,	-579.59
536.57,	497.99,	491.84
-518.64,	-511.41,	-1266.33
519.60,	450.63,	1494.68
-512.12,	-588.89,	-1763.94
484.88,	534.69,	580.12
-522.07,	-542.79,	-1939.80
541.90,	499.50,	1489.44
-513.14,	-540.41,	-1954.52
517.50,	516.31,	745.73
-523.94,	-513.69,	-1331.31
514.21,	563.56,	2029.78
-538.49,	-519.75,	-265.85
529.38,	511.91,	2234.16
-519.11,	-558.04,	-569.73
534.53,	536.43,	1606.73
-541.34,	-563.71,	-2665.42
496.72,	535.43,	2081.08
-572.03,	-581.87,	-1802.19
535.68,	495.11,	1168.59
-487.02,	-473.79,	-972.18
537.58,	539.86,	1994.60
-540.21,	-577.39,	-2724.56
489.01,	526.33,	1574.61
-537.60,	-532.31,	-564.21
514.89,	579.24,	1812.76
-545.23,	-511.58,	-1088.26
267.93,	260.73,	1279.24
-30.56,	19.41,	989.51
-236.06,	-294.46,	-1122.39
492.91,	548.42,	2260.97
-551.34,	-533.10,	-1082.81
557.13,	545.46,	1883.59
-599.35,	-600.96,	-2967.80
577.42,	558.23,	2347.32
-591.21,	-542.76,	67.66
537.09,	470.15,	2655.45
-512.11,	-518.27,	-2315.60
542.51,	543.73,	1581.53
-422.20,	-381.40,	-715.99
478.38,	550.29,	924.49
-560.98,	-538.25,	-408.78
552.82,	510.74,	2785.41
-386.03,	-382.39,	-585.95
548.48,	523.30,	2179.65
-334.00,	-315.48,	-781.88
