x, y, z
-0.366211, 0.244141, -1.281738
-0.366211, 0.305176, -1.525879
-0.549316, -0.305176, -0.915527
-0.549316, 0.183105, -0.732422
-0.671387, 0.366211, -1.037598
-0.488281, 0.427246, -1.464844
-0.427246, 0.488281, -1.220703
-0.305176, 0.366211, -1.403809
-0.610352, -0.061035, -0.854492
-0.671387, 0.061035, -0.610352
-0.793457, 0.549316, -1.342773
-0.488281, 0.671387, -1.281738
-0.366211, 0.549316, -1.281738
-0.610352, 0.000000, -1.403809
-0.427246, 0.183105, -1.098633
-0.610352, 0.000000, -0.793457
-0.793457, 0.488281, -0.976562
-0.610352, 0.366211, -1.342773
-0.366211, 0.305176, -1.647949
-0.366211, 0.305176, -1.464844
-0.610352, -0.061035, -1.037598
-0.793457, -0.122070, -0.732422
-0.549316, 0.305176, -1.037598
-0.366211, 0.488281, -1.281738
-0.610352, 0.305176, -1.586914
-0.549316, 0.244141, -1.586914
-0.610352, 0.244141, -1.220703
-0.610352, -0.183105, -0.549316
-0.427246, 0.244141, -1.281738
-0.549316, 0.244141, -1.525879
-0.549316, 0.427246, -1.403809
-0.305176, 0.244141, -1.525879
-0.488281, 0.061035, -1.281738
-0.610352, 0.000000, -0.610352
-0.427246, 0.061035, -0.793457
-0.305176, 0.366211, -1.342773
-0.366211, 0.183105, -1.281738
-0.427246, 0.366211, -1.342773
-0.488281, 0.000000, -0.976562
-0.488281, -0.183105, -0.427246
-0.427246, -0.061035, -1.220703
-0.305176, 0.427246, -1.403809
-0.366211, 0.366211, -1.342773
-0.549316, 0.427246, -1.037598
-0.427246, 0.366211, -0.610352
-0.488281, 0.061035, -0.488281
-0.549316, 0.244141, -1.281738
-0.549316, 0.183105, -1.159668
-0.122070, 0.549316, -1.220703
-0.366211, 0.183105, -1.281738
-0.427246, 0.000000, -0.976562
-0.854492, -0.244141, -0.732422
-0.976562, -0.122070, -0.732422
-0.854492, 0.427246, -1.037598
-0.366211, 0.366211, -1.098633
-0.427246, 0.366211, -1.342773
-0.549316, 0.244141, -0.915527
-0.488281, 0.000000, -0.610352
-0.244141, 0.427246, -0.793457
-0.549316, 0.427246, -1.281738
-0.732422, 0.305176, -1.342773
-0.549316, 0.183105, -1.342773
-0.305176, 0.183105, -1.342773
-0.549316, 0.122070, -0.732422
-0.305176, 0.427246, -1.159668
-0.488281, 0.549316, -1.586914
-0.793457, 0.549316, -1.525879
-0.427246, 0.610352, -1.525879
-0.122070, -0.122070, -1.159668
