0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
117,58,2,1,1,2,2,4,1,4,6,3,7,3,4,1,5,0,3,4,3,1,5,6,2,4,3,6,4,6,8,5,2,5,5,2,5,7,4,3,7,5,3,8,8,18,8,3,6,6,3,6,5,3,4,5,7,5,8,4,4,5,9,7,5,7,1,7,6,7,6,6,7,5,5,10,3,8,6,6,6,8,5,8,4,9,4,8,5,8,6,6,5,8,8,3,7,7,7,6,7,6,8,6,5,7,6,7,6,7,7,7,5,6,7,6,7,6,7,5,7,6,5,7,6,5,7,5,6,6,5,6,6,5,5,5,6,5,3,7,6,5,6,4,4,6,6,5,6,4,5,4,4,5,4,5,4,5,4,6,4,4,3,5,4,3,4,3,4,2,5,2,5,3,4,3,3,3,4,2,4,2,4,1,3,4,1,3,4,1,3,2,2,3,3,2,1,1,2,3,1,2,1,0,2,1,1,3,1,0,3,1,2,1,2,1,1,1,0,2,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,67,2,1,0,3,5,7,3,4,5,6,4,6,3,2,1,0,3,5,4,1,1,2,2,2,5,4,1,2,2,1,3,2,1,1,1,1,2,1,1,3,1,3,8,8,5,6,4,2,0,1,1,3,2,2,1,2,6,7,4,3,3,3,2,1,2,3,3,1,3,3,0,2,2,2,1,0,1,0,1,2,4,3,2,1,2,1,2,4,4,2,0,0,1,1,1,2,3,3,1,1,2,1,1,1,2,2,1,0,2,1,1,0,2,1,0,1,0,0,0,0,0,2,1,0,1,0,1,0,2,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,2,1,1,1,1,1,1,0,2,2,1,0,1,1,0,0,1,3,2,1,0,1,0,1,1,2,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,66,0,2,2,2,1,3,3,0,1,2,3,2,3,3,3,1,1,2,3,1,1,1,5,7,5,1,1,3,4,2,2,5,3,1,4,2,5,4,1,2,1,1,7,9,3,6,6,2,2,1,2,4,2,1,4,5,4,3,4,3,4,1,3,3,1,0,0,3,4,3,2,0,2,3,3,3,1,1,3,1,1,3,2,1,3,2,1,3,4,4,2,1,0,1,1,1,1,1,1,0,0,2,3,2,0,0,2,1,2,3,0,1,3,2,1,0,2,0,0,2,1,0,2,3,1,0,1,1,2,2,2,0,2,1,0,1,1,1,1,1,2,2,0,2,1,0,1,0,0,2,3,2,0,1,0,0,0,1,1,0,0,1,1,2,2,1,0,1,1,0,1,1,1,1,2,1,1,1,1,1,0,0,1,2,2,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,2,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,96,33,35,33,28,27,33,34,29,29,32,33,35,38,37,33,30,32,31,28,28,32,34,32,31,34,36,32,30,29,28,31,31,29,28,26,26,29,30,32,33,32,32,27,23,28,31,30,29,27,26,28,29,28,30,33,32,33,34,31,32,33,29,25,27,29,29,29,30,30,28,29,28,28,30,30,29,28,30,29,26,27,28,29,29,29,27,27,26,26,29,29,27,27,28,27,25,26,26,26,27,27,25,24,25,28,29,26,24,25,25,25,26,26,24,24,24,24,23,24,23,22,23,23,24,24,24,24,24,24,23,22,21,21,21,22,21,21,21,21,21,22,22,21,20,20,19,20,22,21,19,18,18,19,19,18,18,18,17,18,18,17,17,18,18,16,16,16,16,17,17,17,16,15,14,15,15,14,14,15,14,13,13,14,14,14,14,13,13,13,12,10,11,13,12,11,12,12,11,11,11,10,10,9,8,9,9,9,9,8,6,7,8,8,8,7,7,7,6,6,6,6,6,6,5,5,5,5,6,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,0,0,0
136,73,3,8,3,6,1,7,1,6,4,6,5,6,2,6,3,3,6,2,2,7,3,4,1,4,7,2,4,8,6,2,3,3,4,4,4,4,7,8,2,4,4,1,13,9,6,2,2,5,1,6,4,5,7,4,5,1,1,5,3,5,3,3,3,3,6,4,2,4,3,3,2,3,5,2,3,4,8,0,2,6,2,4,0,6,4,3,3,3,1,3,3,3,4,1,5,2,4,5,0,3,4,2,3,1,5,3,1,3,2,4,1,5,1,3,2,4,4,3,3,1,3,1,4,2,3,1,2,3,2,3,1,3,1,2,1,3,4,2,2,2,3,0,4,1,3,1,3,2,0,4,1,2,0,2,4,1,1,3,1,3,1,1,2,1,2,1,2,2,2,1,3,1,2,0,2,3,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,0,1,1,1,2,1,2,2,0,1,0,1,2,1,2,1,2,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,77,41,21,36,26,31,25,30,31,21,31,19,37,14,34,18,33,17,30,19,34,22,29,31,23,34,14,34,12,31,20,38,18,36,23,27,24,24,27,25,33,17,35,13,23,12,30,17,32,21,26,24,27,28,22,32,20,30,14,33,13,35,20,29,20,25,23,20,23,23,30,15,29,13,31,13,29,15,31,21,28,24,27,28,20,29,20,32,15,31,13,29,15,28,18,29,24,23,26,19,23,16,29,13,27,10,25,13,27,18,27,21,22,24,16,24,16,27,12,26,10,23,12,22,15,22,17,18,20,17,22,13,21,8,22,10,22,12,23,13,19,16,18,19,16,23,12,22,9,19,9,21,11,19,11,18,16,15,18,14,17,10,18,9,19,8,19,10,19,11,15,13,14,15,12,16,9,15,7,15,7,15,7,14,9,13,9,10,10,9,12,7,13,7,12,5,11,5,12,8,10,8,9,9,5,8,6,10,3,8,2,8,5,8,5,8,6,7,6,5,7,4,7,3,7,1,5,2,4,2,5,3,3,3,3,4,2,3,1,3,1,2,1,2,1,2,2,1,1,1,1,0,1,1,0
136,74,3,4,4,1,2,8,3,4,4,1,5,3,4,1,7,2,3,2,5,9,9,1,5,0,5,5,1,4,1,3,8,2,6,2,4,3,6,3,2,3,2,5,5,12,2,1,9,3,5,2,7,1,2,5,2,3,6,3,1,5,3,2,4,3,3,2,3,1,1,6,5,2,5,5,5,5,3,4,3,0,4,0,3,4,0,4,5,4,4,3,3,1,5,2,3,3,2,3,0,2,3,3,3,3,1,2,3,3,4,1,2,2,2,3,0,2,4,0,5,2,4,3,3,2,2,2,1,4,1,5,1,4,1,2,3,0,3,2,1,2,2,2,1,0,3,4,1,2,1,2,1,3,2,1,0,2,1,2,1,0,2,2,1,2,1,0,3,2,0,2,1,1,1,1,1,3,0,1,1,1,4,2,2,2,1,1,1,0,1,2,0,1,1,0,1,1,1,1,0,1,1,1,0,2,0,1,1,2,2,2,2,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,49,34,32,31,30,30,35,36,32,29,34,33,26,25,32,32,31,28,24,25,28,28,27,31,32,31,28,31,31,29,27,28,24,27,33,31,28,29,26,28,32,30,30,38,37,28,28,30,30,31,30,30,28,25,27,27,27,30,28,29,31,29,25,26,28,28,29,27,28,28,27,26,26,28,28,25,25,27,26,25,23,24,26,26,28,25,23,23,23,21,23,29,27,26,26,26,25,24,24,24,23,22,23,22,24,24,23,23,22,23,22,21,21,20,21,22,21,21,22,22,20,21,22,22,22,20,20,19,19,20,21,21,21,18,19,20,19,18,18,19,18,17,16,17,17,18,18,17,17,18,17,17,16,16,16,17,17,16,16,18,17,16,18,16,15,14,14,15,13,15,16,15,13,14,14,13,14,14,13,13,14,13,13,12,12,12,12,12,12,12,12,10,10,12,12,11,10,10,10,8,8,9,8,10,10,8,8,9,8,8,10,8,8,7,7,7,6,6,7,6,6,6,5,5,5,4,5,5,5,4,5,5,4,4,3,3,3,3,3,2,2,2,2,3,2,2,2,2,1,0,1,1,0,0,0
144,73,5,4,3,1,0,2,2,3,4,3,3,1,2,5,4,1,5,6,2,2,3,3,5,4,2,1,5,5,6,4,3,3,1,1,5,5,0,1,3,2,0,3,8,8,2,2,1,1,3,4,2,3,5,5,4,1,4,5,6,4,2,1,1,3,2,1,1,1,1,2,1,1,2,3,0,4,4,2,0,1,1,1,0,1,2,2,1,1,3,3,3,1,0,0,1,1,1,2,2,0,0,0,2,2,0,1,2,1,1,2,2,1,1,2,2,2,2,0,1,1,0,0,0,1,1,2,3,2,0,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,2,1,1,0,1,1,0,0,1,0,0,0,1,2,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,2,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,76,16,23,21,18,18,19,19,26,22,20,18,14,20,19,24,23,21,24,20,23,21,18,20,20,18,21,21,21,15,22,21,18,18,18,14,16,20,21,20,17,20,17,10,10,20,22,21,19,18,18,23,19,16,18,20,15,21,16,15,21,21,18,18,20,18,18,18,15,20,18,18,16,18,18,19,18,16,20,19,16,18,20,16,16,14,17,16,18,16,17,17,16,17,16,18,16,14,16,15,18,16,15,15,15,17,14,17,17,14,16,15,14,15,15,15,16,13,15,17,16,13,15,15,14,14,13,12,13,14,13,15,14,12,14,14,13,12,15,14,13,13,12,13,12,10,13,13,11,13,12,11,11,12,12,10,10,10,12,12,11,11,11,11,10,9,11,10,11,9,9,9,11,9,8,10,11,9,9,10,9,9,7,7,7,9,7,8,8,7,8,7,7,8,7,5,6,8,5,7,6,5,6,7,5,5,5,6,6,6,3,3,4,4,3,5,5,5,4,3,4,4,3,3,4,2,4,3,4,3,3,3,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0
