-0.167847, 0.061035, -0.381470 
-0.186920, 0.045776, -0.698090 
-0.185966, 0.064850, -0.889778 
-0.261545, 0.018120, -0.941992 
-0.272453, -0.001669, -0.843823
-0.272453, -0.001669, -0.843823
-0.372186, 0.059783, -0.922784 
-0.462245, 0.136390, -1.012523 
-0.484013, 0.117552, -1.125603 
-0.500339, 0.103422, -1.118860 
-0.512583, 0.077567, -1.037510 
-0.567543, 0.134469, -1.037532 
-0.593504, 0.177146, -1.083324 
-0.536681, 0.239671, -1.148187 
-0.509322, 0.271306, -1.196833 
-0.504062, 0.218738, -1.233318 
-0.561152, 0.148795, -1.108094 
-0.603969, 0.142114, -1.120988 
-0.559789, 0.167620, -1.222210 
-0.526653, 0.217268, -1.328645 
-0.456025, 0.223986, -1.393212 
-0.433571, 0.137472, -1.441638 
-0.447249, 0.011551, -1.249075 
-0.488025, -0.052372, -1.135170
-0.518606, -0.054538, -1.187071
-0.480507, 0.035391, -1.241256 
-0.482451, 0.087578, -1.266635
-0.468650, 0.050425, -1.224634
-0.519334, -0.007958, -1.086323
-0.572606, 0.024549, -1.043624
-0.582042, 0.109965, -1.164187
-0.573861, 0.189285, -1.224093
-0.567725, 0.264034, -1.253763
-0.532605, 0.167508, -1.260757
-0.506265, 0.064596, -1.174449
-0.517028, 0.078964, -1.140236
-0.555618, 0.166035, -1.206130
-0.523525, 0.185561, -1.225032
-0.499455, 0.215465, -1.284985
-0.481403, 0.237893, -1.223138
-0.528899, 0.269972, -1.069941
-0.549262, 0.263514, -1.046597
-0.564534, 0.289188, -1.166417
-0.499695, 0.277927, -1.271541
-0.557877, 0.299998, -1.319867
-0.570995, 0.240257, -1.386629
-0.580834, 0.088640, -1.299371
-0.588214, 0.020704, -1.264445
-0.532713, -0.014990, -1.299286
-0.536864, 0.049793, -1.355934
-0.509459, 0.128897, -1.398421
-0.488906, 0.035638, -1.430285
-0.488750, 0.041987, -1.271078
-0.534409, 0.077267, -1.182190
-0.522877, 0.134244, -1.283371
